Countries,Year,Male_count,Female_count,Total Population,Domestic Revenue (In Billions),International revenue (In Billions),Total Revenue (In Billions),International Arrivals,Literacy,Crime Rate,Currency,Curr_$,Salary/Hour
Denmark,2010,2752727,2794956,5547683,322,270.9,592.8,26730000,75.47,0.76,DKK,4058.5,1.27
Denmark,2011,2765430,2805142,5570572,344,260.9,604.9,25811000,76.68,0.82,DKK,4033,1.91
Denmark,2012,2777284,2814288,5591572,327.1,306.7,633.8,26402000,77.42,0.84,DKK,4027.25,1.93
Denmark,2013,2790261,2824671,5614932,343.6,309,652.6,26516000,77.79,0.85,DKK,4037.5,1.16
Denmark,2014,2805574,2837901,5643475,353,370.1,723.1,28070000,78.25,0.76,DKK,4067.75,1.27
Denmark,2015,2826216,2857267,5683483,302.7,388.1,690.8,28209000,78.58,0.83,DKK,4058.69,1.47
Denmark,2016,2848688,2879322,5728010,313.1,388.7,701.8,28692000,95.32,0.61,DKK,4050.58,1.52
Denmark,2017,2867015,2897965,5764980,332.1,400.3,732.4,30736000,95.56,0.56,DKK,4051.17,1.63
Denmark,2018,2880932,2912704,5793636,356.8,369.5,726.4,30801000,96.78,0.53,DKK,4061.15,2.45
Denmark,2019,2890825,2923597,5814422,347.6,454.1,801.7,33093000,97.47,0.54,DKK,4092.78,2.95
Denmark,2020,2898848,2932556,5831404,356.1,435.6,791.7,15595000,98.61,0.54,DKK,4098.72,3.1
Denmark,2021,2911068,2945665,5856733,341.1,392.3,733.5,15953000,98.89,0.52,DKK,4099.44,3.31
Denmark,2022,2921269,2956889,5882261,399.2,397.3,796.5,15604000,97.73,0.55,DKK,1156.46,2.78
"Egypt, Arab Rep.",2010,41806220,40955024,82761244,170.5,48.5,219,14731000,97.56,2.22,EGP,1108.23,3.46
"Egypt, Arab Rep.",2011,42706357,41822894,84529251,192.1,43.9,236,9845000,97.34,3.2,EGP,1126.81,1.02
"Egypt, Arab Rep.",2012,43668307,42753933,86422240,207.4,71.7,279.1,11532000,96.57,2.55,EGP,1094.98,1.05
"Egypt, Arab Rep.",2013,44674003,43730649,88404652,251.1,37.3,288.4,9464000,96.42,3.15,EGP,1052.84,1.07
"Egypt, Arab Rep.",2014,45697164,44727504,90424668,260.3,45.3,305.6,9878000,96.32,4.15,EGP,1130.95,1.08
"Egypt, Arab Rep.",2015,46717678,45724871,92442549,277,52.4,329.4,9328000,96.14,3.15,EGP,1160.77,1.18
"Egypt, Arab Rep.",2016,47729770,46717301,94447071,293.3,39.2,332.4,5399000,93.07,5.15,EGP,1131,1.29
"Egypt, Arab Rep.",2017,48735775,47706815,96442590,301.1,34.6,335.7,8292000,93.52,6.15,EGP,1100.16,1.37
"Egypt, Arab Rep.",2018,49733474,48690128,98423602,312.9,36.9,349.7,8492000,94.23,7.15,EGP,1165.36,1.45
"Egypt, Arab Rep.",2019,50722599,49665477,100388076,320.9,82.1,403.1,8526000,93.96,8.15,EGP,1180.27,1.53
"Egypt, Arab Rep.",2020,51702862,50631541,102334403,292.4,172.9,465.3,7173000,94.56,5.15,EGP,1143.95,1.68
"Egypt, Arab Rep.",2021,52672373,51585954,104258327,299.3,204.9,504.1,7536000,94.47,4.15,EGP,1189.23,1.62
"Egypt, Arab Rep.",2022,53772473,52288595,106162796,311.6,202.6,514.2,8136000,94.86,7.15,EGP,0.29,1.94
Spain,2010,23021109,23555788,46576897,118.2,1303.9,1422.1,7374400,94.97,0.85,EUR,0.28,10.14
Spain,2011,23080992,23661705,46742697,126.5,1354.2,1480.7,7518700,95.38,0.82,EUR,0.28,10.22
Spain,2012,23062475,23710580,46773055,135.3,1189.5,1324.7,7812800,95.57,0.84,EUR,0.28,10.38
Spain,2013,22948578,23671467,46620045,139.3,1215.8,1355.1,8323100,95.25,0.85,EUR,0.28,12.47
Spain,2014,22845827,23635055,46480882,144.9,1226.3,1371.2,8714400,96.34,0.76,EUR,0.3,13.28
Spain,2015,22804740,23640092,46444832,151.5,1044.1,1195.6,8983400,97.45,0.83,EUR,0.3,14.87
Spain,2016,22814173,23669889,46484062,154.5,1078.4,1232.9,9256100,83.45,0.61,EUR,0.3,15.85
Spain,2017,22869416,23723820,46593236,159.4,1153.1,1312.5,9371700,83.48,0.56,EUR,0.3,16.84
Spain,2018,22979269,23818485,46797754,171.3,1249.7,1421,9445600,83.57,0.53,EUR,0.3,17.4
Spain,2019,23156203,23978634,47134837,171.2,1221.8,1393,9631700,85.16,0.55,EUR,0.31,18.14
Spain,2020,23277461,24085958,47363419,151.8,1129.7,1281.5,8641000,85.39,0.56,EUR,0.3,16.49
Spain,2021,23264944,24061743,47326687,158.9,1266.3,1425.3,8904201,86.46,0.57,EUR,0.3,18.49
Spain,2022,24275068,25071845,47558630,167.9,1267.7,1435.7,9425010,87.45,0.57,EUR,1507.5,20.55
Ethiopia,2010,43727479,43912483,87639962,29.9,11.6,41.5,468000,87.69,0.57,ETB,1507.5,8.39
Ethiopia,2011,44989927,45150001,90139928,32,15.5,47.4,523000,87.49,1.19,ETB,1507.5,9.35
Ethiopia,2012,46300213,46426769,92726982,43.3,26.8,70.1,597000,87.65,1.27,ETB,1507.5,9.59
Ethiopia,2013,47648725,47737068,95385793,47.6,28.3,76,681000,87.59,1.35,ETB,1507.5,10.56
Ethiopia,2014,49021687,49072577,98094264,55.6,37.9,93.5,770000,90.34,1.23,ETB,1507.5,11.68
Ethiopia,2015,50408589,50426864,100835453,64.6,43.8,108.4,864000,91.49,1.22,ETB,1507.5,12.39
Ethiopia,2016,51805857,51797604,103603461,74.3,52.5,126.8,871000,82.21,1.23,ETB,1507.5,13.94
Ethiopia,2017,53214725,53185201,106399926,81.8,57.6,139.4,933000,82.25,1.57,ETB,1507.5,14.39
Ethiopia,2018,54635264,54589146,109224410,84.3,81.2,165.4,849000,82.34,1.37,ETB,1507.5,12.83
Ethiopia,2019,56069008,56009719,112078727,95.9,83.3,179.3,812000,83.25,1.25,ETB,1507.5,13.97
Ethiopia,2020,57516835,57446748,114963583,107.7,56.5,164.1,518000,83.15,1.17,ETB,1507.5,14.62
Ethiopia,2021,58977276,58898950,117876226,111.3,60.1,171.4,518000,84.87,1.18,ETB,1507.5,15.93
Ethiopia,2022,59988378,59898960,123379924,105.3,70.9,176.2,525100,85,1.19,ETB,71.4,16.46
Finland,2010,2632137,2731215,5363352,35,214.4,249.4,3670000,86.59,2.22,EUR,72.23,1.23
Finland,2011,2645901,2742371,5388272,39.6,236,275.6,4192000,87.39,3.2,EUR,73.51,1.38
Finland,2012,2660106,2753865,5413971,40.5,217.8,258.3,4226000,87.95,2.55,EUR,77.52,1.48
Finland,2013,2673973,2764999,5438972,42.2,229.2,271.4,2797000,88.94,224,EUR,83.89,1.57
Finland,2014,2686568,2774944,5461512,42.7,232.2,274.9,2731000,89.38,2.33,EUR,86.19,1.6
Finland,2015,2696829,2782702,5479531,43.3,191.3,234.5,2622000,99.8,2.44,EUR,94.43,1.73
Finland,2016,2705857,2789446,5495303,45.3,195.5,240.8,2789000,99.8,2.56,EUR,112.71,1.84
Finland,2017,2713357,2794857,5508214,46.9,208.7,255.6,3180000,99.8,2.68,EUR,144.06,1.95
Finland,2018,2718009,2797516,5515525,48.6,227.1,275.7,3224000,99.8,2.65,EUR,186.43,1.38
Finland,2019,2722008,2799598,5521606,49.6,218.9,268.5,3290000,99.8,2.33,EUR,191.52,1.49
Finland,2020,2726895,2802648,5529543,41.2,230.6,271.8,896000,99.8,2.34,EUR,196.37,1.89
Finland,2021,2733847,2807849,5541696,44.7,254.5,299.2,897000,99.8,2.34,EUR,199.37,2.19
Finland,2022,2843849,2917959,5540745,47.3,250.1,297.4,901000,99.71,2.67,EUR,1.27,2.28
France,2010,31499005,33528500,65027505,438,2207.2,2645.2,8296000,98.61,1.27,EUR,7.26,1.13
France,2011,31656533,33686256,65342789,449.1,2416.1,2865.2,8595000,98.73,1.35,EUR,8.21,1.24
France,2012,31814442,33845372,65659814,470.6,2213,2683.7,8522000,98.12,1.23,EUR,9.66,1.36
France,2013,31981566,34017119,65998685,491.4,2320.5,2811.9,8780000,98.1,1.22,EUR,10.85,1.41
France,2014,32133948,34178119,66312067,497.9,2358,2856,8599000,99.2,1.23,EUR,12.76,1.59
France,2015,32245927,34302345,66548272,510,1929.2,2439.2,9302000,99.65,1.57,EUR,14.71,1.63
France,2016,32324929,34399175,66724104,515.3,1957.7,2473,9452000,99.97,1.37,EUR,13.32,2.16
France,2017,32409436,34508584,66918020,542.8,2052.3,2595.2,9724000,98.97,1.25,EUR,13.23,2.19
France,2018,32487909,34614021,67101930,571.2,2219.7,2791,9845000,98.7,1.17,EUR,14.45,2.84
France,2019,32550240,34698686,67248926,597.6,2131.3,2728.9,9877000,98.87,1.18,EUR,16.46,2.95
France,2020,32608588,34771320,67379908,570.6,2059.8,2630.3,7109000,98.68,11.21,EUR,14.78,3.12
France,2021,32665882,34833461,67499343,583.8,2353.7,2937.5,7599200,99.66,11.77,EUR,14.78,3.84
France,2022,33665882,35843461,64626628,595.6,2341.2,2936.8,8798010,99.71,10.81,EUR,7.32,3.89
United Kingdom,2010,30834622,31931743,62766365,406.2,2084.9,2491.1,30398000,99.85,12.12,GBP,7.26,1.18
United Kingdom,2011,31097291,32161519,63258810,428.9,2245.9,2674.9,31886000,96.29,12.25,GBP,8.21,1.19
United Kingdom,2012,31335746,32364469,63700215,429.3,2289.9,2719.2,32221000,97.24,12.45,GBP,9.66,2.3
United Kingdom,2013,31567929,32560344,64128273,446.7,2356.6,2803.3,33567000,97.83,12.75,GBP,10.85,2.43
United Kingdom,2014,31822154,32780144,64602298,463.4,2623.8,3087.2,35337000,95.8,13.25,GBP,12.76,2.52
United Kingdom,2015,32094826,33021393,65116219,479.8,2476.8,2956.6,36792000,96.35,13.59,GBP,14.71,2.64
United Kingdom,2016,32356947,33254646,65611593,506.2,2216.7,2722.9,39129000,96.79,13.75,GBP,13.32,2.79
United Kingdom,2017,32594185,33464674,66058859,532.2,2166.8,2699,41080000,97.26,14.04,GBP,13.23,2.85
United Kingdom,2018,32807966,33652378,66460344,549.2,2351.6,2900.8,40283000,96.11,14.78,GBP,14.45,2.94
United Kingdom,2019,33008768,33827559,66836327,562.2,2316.5,2878.7,40857000,96.27,4.34,GBP,16.46,3.1
United Kingdom,2020,33144663,33936337,67081000,521.6,2235.3,2756.9,11101000,96.83,3.4,GBP,14.78,3.2
United Kingdom,2021,33281018,34045551,67326569,534.9,2651.9,3186.9,12101000,97.18,5.11,GBP,0.73,3.49
United Kingdom,2022,34291119,35145661,67508936,568.3,2808.6,3376.9,13101000,97.59,5.12,GBP,0.75,3.75
Georgia,2010,1804167,1982528,3786695,4.7,7.6,12.2,2032000,98.13,5.25,GEL,1.78,1.52
Georgia,2011,1790352,1966089,3756441,5.9,9.2,15.1,2712000,69.25,5.55,GEL,1.69,1.98
Georgia,2012,1778218,1950656,3728874,6.4,10,16.5,4106000,66.5,6.12,GEL,1.65,1.29
Georgia,2013,1774019,1943649,3717668,6.4,10.8,17.2,4954000,67.75,6.34,GEL,1.66,2.87
Georgia,2014,1775779,1943635,3719414,7,10.6,17.6,5004000,68,6.18,GEL,1.77,3.68
Georgia,2015,1779006,1946270,3725276,7.7,7.2,15,5256000,71,3.4,GEL,2.27,4.28
Georgia,2016,1779921,1947584,3727505,8.4,6.7,15.1,5393000,71,3.43,GEL,2.37,4.68
Georgia,2017,1779524,1948480,3728004,9.5,6.7,16.2,6483000,86,3.4,GEL,2.51,5.98
Georgia,2018,1777890,1948659,3726549,10,7.6,17.6,7203000,73.5,3.4,GEL,2.53,5.38
Georgia,2019,1773854,1946307,3720161,11.4,6.1,17.5,7726000,98.8,6.1,GEL,2.82,6.01
Georgia,2020,1774234,1948482,3722716,10.5,5.3,15.8,1513000,85.75,5.91,GEL,3.11,7.19
Georgia,2021,1766864,1941746,3708610,11.2,7.5,18.7,8513720,86.68,7.9,GEL,3.22,8.35
Georgia,2022,1877874,1952848,3744385,12.2,7.5,19.7,8624721,99.61,7.67,GEL,3.24,9.18
Ghana,2010,12533386,12246228,24779614,6.2,26,32.2,931000,98.84,7.88,GHC,1.43,1.86
Ghana,2011,12844636,12543077,25387713,8.9,30.4,39.3,821000,99.73,8.59,GHC,1.52,2.94
Ghana,2012,13156379,12840075,25996454,11.6,29.7,41.3,903000,99.25,7.8,GHC,1.82,3.67
Ghana,2013,13469420,13138221,26607641,13.3,49.5,62.8,994000,99.75,8.23,GHC,1.98,4.93
Ghana,2014,13785234,13439246,27224480,17.9,36.9,54.8,825000,99.69,1.99,GHC,2.9,5.93
Ghana,2015,14104836,13744367,27849203,21.5,28,49.4,897000,99.69,1.89,GHC,3.71,6.39
Ghana,2016,14428231,14053716,28481947,24.3,31.9,56.2,4954000,99.69,1.93,GHC,3.91,7.25
Ghana,2017,14754799,14366665,29121464,30.4,30,60.4,5004000,87.45,2.09,GHC,4.35,7.78
Ghana,2018,15084235,14682873,29767108,37.8,29.5,67.3,5256000,87.69,3.27,GHC,4.59,8.14
Ghana,2019,15416086,15001772,30417858,42.8,25.6,68.3,5393000,87.49,3.65,GHC,5.22,9.45
Ghana,2020,15749999,15322946,31072945,44.4,25.6,70,6483000,87.65,3.98,GHC,5.6,7.29
Ghana,2021,16085850,15646278,31732128,45.8,31.8,77.6,7203000,87.59,3.28,GHC,5.81,10.57
Ghana,2022,17087870,16746388,33475870,48.1,25.7,73.9,7414040,90.34,4.23,GHC,5726.07,11.64
Guinea,2010,4858465,5333703,10192168,6.9,24.7,31.6,123998,91.49,4.54,GNF,5726.07,1.14
Guinea,2011,4969530,5450929,10420459,6.8,30.7,37.5,131000,82.21,4.78,GNF,6658.03,1.19
Guinea,2012,5083247,5568785,10652032,7.6,31.7,39.4,96000,82.25,4.98,GNF,6985.83,1.29
Guinea,2013,5202759,5690062,10892821,8.4,35,43.4,56000,82.34,4.76,GNF,6907.88,2.48
Guinea,2014,5332362,5818608,11150970,8.8,34.8,43.6,33000,83.25,4.67,GNF,7014.12,2.94
Guinea,2015,5474968,5957128,11432096,8.8,34.8,43.6,35000,83.15,4.92,GNF,7485.52,3.29
Guinea,2016,5631807,6106627,11738434,8.6,36,44.6,63000,84.87,1.19,GNF,8967.93,3.83
Guinea,2017,5801506,6266010,12067516,10.3,32.2,42.6,99000,85,1.84,GNF,9088.32,4.19
Guinea,2018,5981068,6433224,12414292,11.9,23.7,35.6,33500,86.59,1.99,GNF,9011.13,4.26
Guinea,2019,6166075,6605171,12771246,13.4,30.1,43.6,44678,87.39,2.23,GNF,9183.88,4.59
Guinea,2020,6353234,6779558,13132792,14.2,28.3,42.5,25678,87.95,2.29,GNF,9565.08,5.25
Guinea,2021,6541530,6955707,13497237,15.9,26.6,42.5,26678,88.94,1.19,GNF,7.32,5.35
Guinea,2022,664241,6966809,13859341,16.8,24.7,41.5,27878,89.38,2.67,GNF,7.26,5.69
Greece,2010,5463359,5657982,11121341,47.5,249.7,297.1,21242011,99.8,2.98,EUR,8.21,1.38
Greece,2011,5451489,5653410,11104899,45.7,237.3,283,22242011,99.8,2.78,EUR,9.66,1.49
Greece,2012,5420637,5624374,11045011,45.7,196.3,242,20112000,99.8,2.88,EUR,10.85,1.89
Greece,2013,5381647,5583564,10965211,43.4,195.5,238.9,21212001,99.8,3.22,EUR,12.76,2.19
Greece,2014,5346628,5545785,10892413,44.1,191.4,235.5,24272000,99.8,3.56,EUR,14.71,2.28
Greece,2015,5311962,5508921,10820883,43.9,151.8,195.7,26114000,99.8,3.77,EUR,13.32,2.39
Greece,2016,5289903,5486068,10775971,46.5,146.6,193.1,28071000,99.8,3.59,EUR,13.23,2.42
Greece,2017,5279194,5475485,10754679,46.8,153,199.8,30161000,99.71,3.29,EUR,14.45,2.53
Greece,2018,5268106,5464776,10732882,48.4,163.7,212,33072000,99.71,3,EUR,16.46,2.64
Greece,2019,5262306,5459276,10721582,48,157.1,205.1,34005000,96.45,2.66,EUR,14.78,2.72
Greece,2020,5252028,5448528,10700556,40.9,147.9,188.8,7406000,96.82,2.33,EUR,15.79,2.84
Greece,2021,5234701,5429867,10664568,43.2,173,216.2,35005000,96.83,2.52,EUR,16.79,2.97
Greece,2022,5334812,5549887,10384971,44.7,178.1,222.8,34005000,97.54,2.3,EUR,17.79,3.06
Honduras,2010,4148644,4168823,8317467,15.8,27.3,43.2,1965000,70.56,74.97,HNL,18.9,2.84
Honduras,2011,4231000,4249670,8480670,17.7,31.8,49.5,1852000,71.28,83.77,HNL,18.92,1.95
Honduras,2012,4311692,4329000,8640692,18.5,34.8,53.3,1903000,71.57,83.67,HNL,19.5,2.92
Honduras,2013,4391237,4407287,8798524,18.5,38.2,56.7,1857000,72.74,73.09,HNL,20.35,2.84
Honduras,2014,4470384,4485195,8955579,19.8,42.8,62.6,2082000,72.94,65.78,HNL,20.99,2.89
Honduras,2015,4549686,4563218,9112904,21,48.2,69.2,2093000,73.67,56.49,HNL,21.95,1.18
Honduras,2016,4629297,4641497,9270794,21.7,50.1,71.9,2228000,74.89,55.55,HNL,22.84,1.19
Honduras,2017,4709093,4719923,9429016,23.1,53.8,76.9,2144000,75.47,40.98,HNL,23.49,2.3
Honduras,2018,4789031,4798492,9587523,24.1,57.8,81.8,2323000,75.47,38.93,HNL,23.9,2.43
Honduras,2019,4868994,4877121,9746115,25.1,58.6,83.7,2315000,92.55,42.01,HNL,24.51,2.52
Honduras,2020,4948880,4955728,9904608,23.8,62.7,86.5,669000,95.9,36.33,HNL,24.58,2.64
Honduras,2021,5028683,5034311,10062994,28.5,49.3,77.8,678130,97.89,36.33,HNL,24.02,2.79
Honduras,2022,5129784,5134421,10432860,31.9,51.1,82.9,669000,97.2,37.33,HNL,25.12,2.85
Croatia,2010,2068839,2226588,4295427,60.4,104.6,165,29006000,96.8,1.43,HRK,5.5,2.94
Croatia,2011,2061076,2219546,4280622,63.2,112.9,176.1,29969000,97.5,1.14,HRK,5.34,3.1
Croatia,2012,2053880,2213678,4267558,57.2,128.2,185.4,32185000,98.2,1.19,HRK,5.85,3.2
Croatia,2013,2047224,2208465,4255689,58.9,138.4,197.3,23845000,98.11,1.08,HRK,5.7,3.4
Croatia,2014,2038228,2200161,4238389,58.3,147.7,206.1,25168000,98.23,0.85,HRK,5.75,3.47
Croatia,2015,2021330,2182274,4203604,50.2,176.9,227.1,25858000,98.71,0.87,HRK,6.86,3.52
Croatia,2016,2007658,2166691,4174349,52.3,197.4,249.7,27587000,98.92,1.05,HRK,6.81,3.58
Croatia,2017,1984597,2139934,4124531,56.2,205.5,261.7,29238000,99.45,1.1,HRK,6.62,3.69
Croatia,2018,1968189,2119654,4087843,62.2,210.1,272.4,29668000,99.51,0.58,HRK,6.28,3.87
Croatia,2019,1958675,2106578,4065253,62.2,227,289.3,30021000,99.34,0.8,HRK,6.62,4.18
Croatia,2020,1951527,2096153,4047680,57.2,221.1,278.3,25608000,99.65,0.95,HRK,6.61,4.28
Croatia,2021,1881022,2017978,3899000,67.8,214.5,282.4,26701030,99.54,0.95,HRK,6.36,4.68
Croatia,2022,1981123,2127988,4030358,69.5,215.7,285.1,27608000,99.23,0.95,HRK,6.46,4.98
Hungary,2010,4744940,5255083,10000023,132.2,476,608.2,19904000,99.8,1.39,HUF,207.94,5.38
Hungary,2011,4732572,5239155,9971727,142,506.7,648.7,21304000,99.57,1.47,HUF,201.06,6.01
Hungary,2012,4709560,5210802,9920362,128.9,572.4,701.3,23565000,99.47,1.26,HUF,225.1,7.19
Hungary,2013,4698182,5194900,9893082,135.7,605.1,740.9,23611000,99.24,1.57,HUF,223.7,8.35
Hungary,2014,4687178,5179290,9866468,141.1,644,785.1,24984000,99.32,1.49,HUF,232.6,9.18
Hungary,2015,4677655,5165373,9843028,125.2,687.2,812.4,27534500,99.55,2.26,HUF,279.33,1.86
Hungary,2016,4665398,5148625,9814023,128.6,706.5,835.2,28920000,99.21,2.07,HUF,281.52,2.94
Hungary,2017,4654465,5133501,9787966,143.1,755.5,898.7,29642000,99.89,2.49,HUF,274.43,3.67
Hungary,2018,4649998,5125566,9775564,160.6,817.1,977.7,30667000,99.75,0.89,HUF,270.21,4.93
Hungary,2019,4649391,5121750,9771141,163.5,902.7,1066.2,31397000,99.78,0.89,HUF,290.66,5.93
Hungary,2020,4641032,5109117,9750149,156.7,810.5,967.3,29641000,99.2,0.87,HUF,308,6.39
Hungary,2021,4623623,5086263,9709886,182.3,800.1,982.4,30241022,99.82,0.87,HUF,303.14,7.25
Hungary,2022,4723724,5096365,9967308,197.8,815.8,1013.6,31641000,99.17,0.87,HUF,304.14,7.78
Indonesia,2010,121820505,120013721,241834226,755.1,1551.9,2307,7003000,99.18,0.86,IDR,9090.43,8.14
Indonesia,2011,123499269,121616719,245115988,893,1981,2874,7650000,92.55,51.88,IDR,8770.43,9.45
Indonesia,2012,125181058,123270656,248451714,917.9,2200.1,3118,8044000,95.9,51.49,IDR,9386.63,9.92
Indonesia,2013,126855422,124949892,251805314,912.5,2897.5,3810,8802000,97.89,40.09,IDR,10461.24,10.57
Indonesia,2014,128509365,126618711,255128076,890.8,3392.1,4282.9,9435000,97.2,38.67,IDR,11865.21,11.64
Indonesia,2015,130132842,128250415,258383257,860.9,3967,4827.9,10407000,96.8,42.01,IDR,13389.41,11.14
Indonesia,2016,131720864,129835522,261556386,931.9,4254,5185.9,11519000,97.5,34.95,IDR,13308.33,11.19
Indonesia,2017,133272786,131378183,264650969,1015.6,4981.3,5996.9,14040000,98.2,41.78,IDR,13380.83,11.29
Indonesia,2018,134788497,132882052,267670549,1042.3,5583.7,6626,15810000,98.11,46.59,IDR,14236.94,12.48
Indonesia,2019,136269761,134355806,270625567,1119.1,6295.6,7414.7,16107000,98.23,56.39,IDR,14147.67,12.94
Indonesia,2020,137717861,135805760,273523621,1058.7,5777.1,6835.8,4053000,98.71,43.85,IDR,14582.2,13.29
Indonesia,2021,139131289,137230499,276361788,1186.1,5831.3,7017.4,16107000,98.92,54.78,IDR,14308.14,13.83
Indonesia,2022,149132288,138240489,275501339,1289.5,6290.8,7580.3,18207810,99.45,66.78,IDR,15508.14,13.83
India,2010,642164181,592116982,1234281163,1675.6,5288.2,6963.8,17976000,99.51,3.76,INR,45.73,1.5
India,2011,650436593,599851346,1250287939,1823,5468.3,7291.3,18309000,99.34,3.81,INR,46.67,1.65
India,2012,658420351,607359892,1265780243,1827.6,6048.5,7876.1,19578000,99.65,3.75,INR,53.44,1.75
India,2013,666165661,614676458,1280842119,1856.7,6502,8358.7,19968000,99.54,3.58,INR,58.6,1.85
India,2014,673747770,621852998,1295600768,2039.1,6409.7,8448.8,23107000,99.23,3.66,INR,61.03,1.88
India,2015,681223332,628929060,1310152392,2103.6,6852.9,8956.5,24284000,99.8,3.39,INR,64.15,1.97
India,2016,688604687,635912563,1324517250,2294.8,6863.4,9158.2,25573000,99.57,3.4,INR,67.2,2.09
India,2017,695880522,642796257,1338676779,2651.5,6809.7,9461.2,26243000,99.47,4.22,INR,65.12,2.28
India,2018,703055580,649586703,1352642283,2702.9,7009.6,9712.5,27423000,99.24,4.4,INR,68.39,2.35
India,2019,710129572,656288184,1366417756,2831.6,6842.1,9673.7,28674000,99.32,3.93,INR,70.42,2.39
India,2020,717100970,662903415,1380004385,2667.7,6171.2,8838.9,27915020,99.55,3.93,INR,74.1,2.49
India,2021,723973437,669435596,1393409033,2734.7,6513.5,9248.2,28495457,99.21,3.93,INR,73.92,3.5
India,2022,733984538,679535698,1417173173,3154.7,6574.6,9729.4,29635860,99.89,3.93,INR,42000,3.8
Ireland,2010,2265836,2294319,4560155,36.6,185.3,221.9,7134000,99.75,1.21,EUR,42000,12.21
Ireland,2011,2273238,2306846,4580084,37.5,201.4,239,7630000,99.78,0.91,EUR,42000,13.34
Ireland,2012,2280451,2319082,4599533,39.5,186,225.5,7550000,99.2,0.81,EUR,42000,14.23
Ireland,2013,2290372,2333444,4623816,41.1,197.2,238.3,8260000,99.82,0.84,EUR,1170,14.89
Ireland,2014,2305716,2352024,4657740,45.1,213.9,259,8813000,99.17,0.88,EUR,1170,15.45
Ireland,2015,2327061,2374896,4701957,49.4,242.2,291.6,9528000,99.55,0.83,EUR,1166.17,15.66
Ireland,2016,2354000,2401335,4755335,51.5,247.5,298.9,10100000,99.21,0.61,EUR,1166,16.65
Ireland,2017,2381248,2426140,4807388,54.3,281.1,335.4,10338000,99.89,0.56,EUR,1166,16.76
Ireland,2018,2412947,2454369,4867316,59.1,325.9,385,10926000,99.75,0.53,EUR,1167.33,17.66
Ireland,2019,2448139,2486201,4934340,63.2,335.9,399.1,10951000,99.78,0.54,EUR,1182,17.85
Ireland,2020,2475118,2510556,4985674,61.6,364.3,425.9,10951000,99.2,0.55,EUR,1184,18.22
Ireland,2021,2497172,2531058,5028230,64.6,433.9,498.6,11952300,99.3,0.56,EUR,1182.75,18.56
Ireland,2022,2472690,2550419,5023109,66.2,450,516.1,11952200,99.2,0.58,EUR,1282.75,19.78
"Iran, Islamic Rep.",2010,37180190,36582329,73762519,221.3,265.5,486.8,2938000,81.89,1.14,IRR,10254.18,7.25
"Iran, Islamic Rep.",2011,37622122,37012837,74634959,223.6,402.5,626.1,3354000,82.49,1.19,IRR,10616.31,7.5
"Iran, Islamic Rep.",2012,38112878,37427003,75539881,278.4,365.6,644,3834000,83.63,1.18,IRR,12175.55,8.15
"Iran, Islamic Rep.",2013,38640056,37841907,76481963,122.3,370.5,492.8,4769000,84.63,1.11,IRR,18414.45,9.55
"Iran, Islamic Rep.",2014,39184203,38281566,77465769,134.5,325.9,460.4,4968000,84.71,1.19,IRR,25941.66,10.44
"Iran, Islamic Rep.",2015,39730143,38762065,78492208,133.9,274.3,408.2,5237000,85.02,0.99,IRR,29011.49,12.01
"Iran, Islamic Rep.",2016,40274534,39289457,79563991,189.2,268.7,458,4942000,85.54,1.2,IRR,30914.85,12.33
"Iran, Islamic Rep.",2017,40818986,39854902,80673888,199.4,287.2,486.6,4867000,85.9,1.23,IRR,33226.3,12.44
"Iran, Islamic Rep.",2018,41358895,40441309,81800204,110.9,220.1,331,7295000,86.42,1.17,IRR,40864.33,12.55
"Iran, Islamic Rep.",2019,41889890,41024003,82913893,97.1,194.3,291.4,9107000,86.91,1.26,IRR,42000,12.6
"Iran, Islamic Rep.",2020,42408406,41584547,83992953,85.8,145.7,231.5,1550000,86.99,1.16,IRR,42000,13.16
"Iran, Islamic Rep.",2021,42911442,42117318,85028760,67.3,154.3,221.6,1890000,87.34,1.14,IRR,42000,13.88
"Iran, Islamic Rep.",2022,43566432,43213432,86103829,51.6,160.3,211.9,2399000,87.46,1.15,IRR,42000,14.15
Iraq,2010,15022419,14719558,29741977,71.2,67.3,138.5,1518000,72.45,1.04,IQD,1170,7.25
Iraq,2011,15520711,15204594,30725305,82.1,103.6,185.7,1510000,75.69,1.19,IQD,1170,7.8
Iraq,2012,16111683,15778329,31890012,99.2,118.8,218,1111000,77.2,1.21,IQD,1166.17,8.1
Iraq,2013,16755233,16401828,33157061,104.4,130.2,234.6,892000,72.7,1.2,IQD,1166,8.51
Iraq,2014,17393213,17018736,34411949,228.4,7.9,236.3,759000,82.2,1.11,IQD,1166,9.44
Iraq,2015,17983741,17588528,35572269,166.8,105.3,272.1,638000,82.9,1.2,IQD,1167.33,9.67
Iraq,2016,18512965,18097667,36610632,166.6,125.1,291.7,892000,83.3,1.15,IQD,1182,10.44
Iraq,2017,18993936,18558853,37552789,187.2,69,256.2,648000,85.6,1.16,IQD,1184,10.88
Iraq,2018,19444067,18989537,38433604,180,55.4,235.4,729000,85.9,1.12,IQD,1182.75,11.12
Iraq,2019,19891814,19417975,39309789,233.6,79.6,313.2,689000,86.4,1.14,IQD,1182,11.87
